id|name|description|instructions|glass_type|thumbnail|portions
434|Zombie||"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together."|Hurricane glass|https://www.thecocktaildb.com/images/media/drink/2en3jk1509557725.jpg|"{""Rum"": ""1 1/2 oz"", ""Pernod"": ""1 tsp"", ""Gold rum"": ""1 1/2 oz"", ""Grenadine"": ""1 tsp"", ""Lime Juice"": ""1 tsp"", ""151 proof rum"": ""1 oz"", ""Angostura Bitters"": ""1 drop""}"
435|Sazerac||Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg|"{""Sugar"": ""1/2 tsp superfine "", ""Water"": ""1 tsp "", ""Ricard"": ""1 tsp "", ""Bourbon"": ""2 oz "", ""Lemon peel"": ""1 twist of "", ""Peychaud bitters"": ""2 dashes ""}"
436|Sherry Eggnog||Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.|Collins glass|https://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg|"{""Egg"": ""1 whole "", ""Milk"": null, ""Nutmeg"": null, ""Sherry"": ""2 oz cream "", ""Powdered sugar"": ""1 tsp ""}"
437|Sherry Flip||Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.|Nick and Nora Glass|https://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg|"{""Egg"": ""1 whole "", ""Nutmeg"": null, ""Sherry"": ""1 1/2 oz cream "", ""Light cream"": ""2 tsp "", ""Powdered sugar"": ""1 tsp ""}"
438|Apple Highball||Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.|Highball glass|https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg|"{""Lime"": ""Chopped"", ""Cognac"": ""1 shot"", ""Ginger"": ""Top"", ""Apple Schnapps"": ""1 shot""}"
460|Absolut Evergreen||Mix, pour over ice and top up with Bitter Lemon.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg|"{""Ice"": ""cubes"", ""Bitter lemon"": null, ""Pisang Ambon"": ""1/3 part "", ""Absolut Citron"": ""2/3 part ""}"
440|Sidecar||Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/x72sik1606854964.jpg|"{""Cognac"": ""2 oz "", ""Cointreau"": ""1/2 oz "", ""Lemon juice"": ""1 oz ""}"
441|Gagliardo||Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg|"{""Galliano"": ""1 part "", ""Lemon juice"": ""3 parts "", ""Peach Vodka"": ""5 parts "", ""Sirup of roses"": ""1 part ""}"
442|GG||Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg|"{""Ice"": null, ""Galliano"": ""2 1/2 shots "", ""Ginger ale"": null}"
443|Lemon Shot||Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.|Shot glass|https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg|"{""Lemon"": "" wedge\n"", ""Sugar"": ""Bacardi "", ""Galliano"": ""1/2 oz "", ""151 proof rum"": null, ""Absolut Citron"": ""1/2 oz ""}"
444|410 Gone||""|Collins Glass|https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg|"{""Coca-Cola"": null, ""Peach Vodka"": ""2-3 oz""}"
445|Cream Soda||Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.|Highball glass|https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg|"{""Ginger ale"": null, ""Spiced rum"": ""1 oz ""}"
446|Happy Skipper||"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"|Highball glass|https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg|"{""Ice"": null, ""Lime"": null, ""Ginger ale"": null, ""Spiced rum"": ""1 1/2 cl ""}"
447|Orange Push-up||Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!|Hurricane glass|https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg|"{""Sour mix"": ""1 splash "", ""Grenadine"": ""0.5 oz "", ""Spiced rum"": ""1.5 oz "", ""Orange juice"": ""4 oz ""}"
448|3 Wise Men||put them them in a glass... and slam it to tha head.|Collins glass|https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg|"{""Jim Beam"": ""1/3 oz "", ""Jack Daniels"": ""1/3 oz "", ""Johnnie Walker"": ""1/3 oz ""}"
450|Apple Cider Punch||If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg|"{""Cloves"": ""6 whole "", ""Nutmeg"": ""1 tsp ground "", ""Allspice"": ""6 whole "", ""Cinnamon"": ""3 sticks "", ""Lemonade"": ""6 oz frozen "", ""Apple cider"": ""4 qt "", ""Brown sugar"": ""1 cup "", ""Orange juice"": ""6 oz frozen ""}"
451|Campari Beer||Use a 15 oz glass. Add Campari first. Fill with beer.|Beer mug|https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg|"{""Lager"": ""1 bottle "", ""Campari"": ""1 1/2 cl ""}"
452|Diesel||Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.|Pint glass|https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg|"{""Cider"": ""1/2 pint "", ""Lager"": ""1/2 pint "", ""Blackcurrant cordial"": ""1 dash ""}"
453|Green Goblin||Cider First, Lager then Curacao|Pint glass|https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg|"{""Cider"": ""1/2 pint hard "", ""Lager"": ""1/2 pint "", ""Blue Curacao"": ""1 shot ""}"
454|Snake Bite (UK)||Pour ingredients into a pint glass. Drink. Fall over.|Pint glass|https://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg|"{""Cider"": ""1/2 pint sweet or dry "", ""Lager"": ""1/2 pint ""}"
455|Snakebite and Black||Put blackcurrant squash in first up to about 1cm in glass. Then add the lager and cider one after another.|Pint glass|https://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg|"{""Cider"": ""1/2 pint "", ""Lager"": ""1/2 pint "", ""Blackcurrant squash"": ""A little bit of ""}"
456|Damned if you do||Pour into shot glass. Put in mouth. Repeat as deemed necessary.|Shot glass|https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg|"{""Whiskey"": ""0.75 oz "", ""Hot Damn"": ""0.25 oz ""}"
457|Hot Toddy||"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately."|Irish coffee cup|https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg|"{""Honey"": ""15 ml"", ""lemon"": ""1"", ""Cloves"": ""2"", ""Whiskey"": ""50 ml"", ""Cinnamon"": ""1""}"
458|Owen's Grandmother's Revenge||Add ingredients and mix in blender.|Highball glass|https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg|"{""Ice"": ""1 cup crushed "", ""Beer"": ""12 oz "", ""Whiskey"": ""12 oz "", ""Lemonade"": ""12 oz frozen ""}"
459|9 1/2 Weeks||Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg|"{""Orange juice"": ""1 oz "", ""Absolut Citron"": ""2 oz "", ""Orange Curacao"": ""1/2 oz "", ""Strawberry liqueur"": ""1 splash ""}"
1|151 Florida Bushwacker||Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.|Beer mug|https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg|"{""Milk"": ""3 oz "", ""Cointreau"": ""1 oz "", ""Light rum"": ""1/2 oz "", ""Malibu rum"": ""1/2 oz "", ""151 proof rum"": ""1/2 oz Bacardi "", ""Coconut liqueur"": ""1 oz "", ""Vanilla ice-cream"": ""1 cup "", ""Dark Creme de Cacao"": ""1 oz ""}"
21|Frozen Pineapple Daiquiri||Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.|Cocktail Glass|https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg|"{""Sugar"": ""1/2 tsp "", ""Light rum"": ""1 1/2 oz "", ""Pineapple"": ""4 chunks "", ""Lime juice"": ""1 tblsp ""}"
42|The Strange Weaver||Mix ingredients slowly in a glass with ice, garnish with orange slice|Collins glass|https://www.thecocktaildb.com/images/media/drink/opxjzh1604179528.jpg|"{""Gin"": ""1 oz"", ""Campari"": ""0.75 oz"", ""Light Rum"": ""1 oz"", ""Lemon Juice"": ""Dash"", ""Orange Peel"": ""Garnish with"", ""Orgeat Syrup"": ""Dash"", ""Sweet Vermouth"": ""0.75 oz""}"
66|Bluebird||In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg|"{""Gin"": ""1 1/2 oz "", ""Bitters"": ""2 dashes "", ""Lemon peel"": ""1 twist of "", ""Triple sec"": ""1/2 oz "", ""Blue Curacao"": ""1/2 oz "", ""Maraschino cherry"": ""1 ""}"
85|Garibaldi Negroni||Mix together in a shaker and garnish with a simple orange slice. Fill your vitamin C and cocktail fix at the same time!|Highball glass|https://www.thecocktaildb.com/images/media/drink/kb4bjg1604179771.jpg|"{""Gin"": ""30 ml"", ""Campari"": ""30 ml"", ""Orange Peel"": ""Garnish with"", ""Orange Juice"": ""90 ml""}"
104|Hawaiian Cocktail||Shake all ingredients with ice, strain into a cocktail glass, and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg|"{""Gin"": ""2 oz "", ""Triple sec"": ""1/2 oz "", ""Pineapple juice"": ""1 tblsp ""}"
461|Absolut limousine||Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg|"{""Ice"": ""Fill with "", ""Lime juice"": ""1/3 "", ""Tonic water"": ""Top it up with "", ""Absolut Citron"": ""2/3 ""}"
463|Cosmopolitan||Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg|"{""Cointreau"": ""1/4 oz "", ""Lime juice"": ""1/4 oz "", ""Absolut Citron"": ""1 1/4 oz "", ""Cranberry juice"": ""1/4 cup ""}"
464|New York Lemonade||Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg|"{""Club soda"": ""1 oz "", ""Lemon juice"": ""2 oz sweetened "", ""Grand Marnier"": ""1 oz "", ""Absolut Citron"": ""2 oz ""}"
465|Black & Tan||Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.|Pint glass|https://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg|"{""Ale"": ""1 part Bass pale "", ""Guinness stout"": ""1 part ""}"
466|A Splash of Nash||Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.|Highball glass|https://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg|"{""Soda water"": ""2 oz "", ""Cranberry juice"": ""2 oz "", ""Creme de Banane"": ""0.5 oz "", ""Midori melon liqueur"": ""0.5 oz ""}"
467|Absolut Sex||Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg|"{""Sprite"": ""1 splash "", ""Absolut Kurant"": ""3/4 oz "", ""Cranberry juice"": ""1 oz "", ""Midori melon liqueur"": ""3/4 oz ""}"
468|Applejack||Add all ingredients into mixing glass, chill and strain into cocktail glass|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg|"{""Sour mix"": ""2 oz "", ""Jack Daniels"": ""1 oz "", ""Midori melon liqueur"": ""1/2 oz ""}"
469|Bob Marley||Layer in a 2 oz shot glass or pony glass|Shot glass|https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg|"{""Goldschlager"": ""1/2 oz "", ""Jägermeister"": ""1/2 oz "", ""Midori melon liqueur"": ""1/2 oz ""}"
470|Zimadori Zinger||Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.|Collins glass|https://www.thecocktaildb.com/images/media/drink/bw8gzx1485619920.jpg|"{""Zima"": ""12 oz "", ""Midori melon liqueur"": ""1.5 oz ""}"
471|Brainteaser||layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.|Shot Glass|https://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg|"{""Sambuca"": ""30 ml white "", ""Advocaat"": ""5 ml "", ""Erin Cream"": ""30 ml ""}"
472|Flander's Flake-Out||Bang 'em both in.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg|"{""Sambuca"": ""1/4 glass "", ""Sarsaparilla"": ""3/4 glass ""}"
473|Zambeer||Mix sambuca with rootbeer and stir. Add ice|Collins Glass|https://www.thecocktaildb.com/images/media/drink/bje5401485619578.jpg|"{""Ice"": ""cubes"", ""Sambuca"": ""1 1/2 oz "", ""Root beer"": ""Add 10 oz ""}"
474|Zorro||add all and pour black coffee and add whipped cream on top.|Coffee Mug|https://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg|"{""Sambuca"": ""2 cl "", ""Baileys irish cream"": ""2 cl "", ""White Creme de Menthe"": ""2 cl ""}"
475|Jelly Bean||mix equal parts in pony glass-tastes just like a jelly bean!|Cordial glass|https://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg|"{""Anis"": ""1 oz "", ""Blackberry brandy"": ""1 oz ""}"
476|Rum Runner||Mix all ingredients in glass & add ice.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg|"{""Malibu rum"": ""1 1/2 oz "", ""Orange juice"": ""3-4 oz "", ""Cranberry juice"": ""3-4 oz "", ""Pineapple juice"": ""3-4 oz "", ""Blackberry brandy"": ""1 oz ""}"
107|Jitterbug||Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!|Cocktail Glass|https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg|"{""Gin"": ""2 jiggers "", ""Sugar"": ""Around rim put 1 pinch "", ""Vodka"": ""1 jigger "", ""Grenadine"": ""3 dashes "", ""Lime juice"": ""1 shot "", ""Soda water"": ""Fill to top with "", ""Sugar syrup"": ""3 dashes ""}"
126|Pink Moon||Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!|Whiskey Glass|https://www.thecocktaildb.com/images/media/drink/lnjoc81619696191.jpg|"{""Gin"": ""1 shot"", ""Lime Juice"": ""30 ml"", ""Blackberries"": ""Garnish with"", ""Coconut Liqueur"": ""1 shot"", ""Elderflower cordial"": ""25 ml""}"
129|Ramos Gin Fizz||"Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost."|Highball glass|https://www.thecocktaildb.com/images/media/drink/967t911643844053.jpg|"{""Gin"": ""4.5 cL"", ""Cream"": ""6 cl"", ""Egg White"": ""1"", ""Soda Water"": ""2 cl"", ""Lemon Juice"": ""3 cl"", ""Sugar Syrup"": ""3 cl"", ""Vanilla extract"": ""2 drop""}"
144|Abilene||Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.|Highball glass|https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg|"{""Dark rum"": ""1 1/2 oz "", ""Orange juice"": ""3 oz "", ""Peach nectar"": ""2 oz ""}"
147|Bahama Mama||"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw."|Highball glass|https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg|"{""Rum"": ""3 parts"", ""Dark Rum"": ""1 part"", ""Grenadine"": ""1 part"", ""Orange Juice"": ""2 parts"", ""Banana liqueur"": ""1 part"", ""Sweet and Sour"": ""1 part"", ""Pineapple Juice"": ""2 parts""}"
165|Americano||Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.|Collins glass|https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg|"{""Campari"": ""1 oz "", ""Lemon peel"": ""Twist of "", ""Orange peel"": ""Twist of "", ""Sweet Vermouth"": ""1 oz red ""}"
188|After Dinner Cocktail||Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.|Cocktail glass|https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg|"{""Lime"": ""1 "", ""Triple sec"": ""1 oz "", ""Apricot brandy"": ""1 oz ""}"
193|Absolutly Screwed Up||Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.|Collins glass|https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg|"{""Ginger ale"": ""Fill to top "", ""Triple sec"": ""1 shot "", ""Orange juice"": ""1 shot "", ""Absolut Citron"": ""1 shot ""}"
212|Atlantic Sun||Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg|"{""Vodka"": ""2 cl Smirnoff "", ""Club soda"": ""1 dash "", ""Sweet and sour"": ""6 cl "", ""Southern Comfort"": ""2 cl "", ""Passion fruit syrup"": ""2 cl ""}"
228|California Lemonade||Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.|Collins glass|https://www.thecocktaildb.com/images/media/drink/q5z4841582484168.jpg|"{""Lime"": ""Juice of 1 "", ""Lemon"": ""Juice of 1 "", ""Grenadine"": ""1/4 tsp"", ""Powdered sugar"": ""1 tblsp"", ""Blended whiskey"": ""2 oz "", ""Carbonated water"": null}"
233|Adios Amigos Cocktail||Shake together all the ingredients and strain into a cold glass.|Martini Glass|https://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg|"{""Gin"": ""1/2 shot "", ""Rum"": ""1 shot "", ""Water"": ""1/2 shot "", ""Cognac"": ""1/2 shot "", ""Sugar Syrup"": ""1/4 shot"", ""Dry Vermouth"": ""1/2 shot "", ""Fresh Lime Juice"": ""1/4 shot""}"
255|Amaretto Sweet & Sour||"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."|Margarita/Coupette glass|https://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg|"{""Amaretto"": null, ""Sweet and sour"": null, ""Pineapple juice"": null, ""Midori melon liqueur"": null}"
281|Black Russian||Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.|Old-fashioned glass|https://www.thecocktaildb.com/images/media/drink/8oxlqf1606772765.jpg|"{""Vodka"": ""1 1/2 oz "", ""Coffee liqueur"": ""3/4 oz ""}"
282|Empellón Cocina's Fat-Washed Mezcal||"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture."|Beer Glass|https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg|"{""Mezcal"": ""2 oz"", ""Coffee liqueur"": ""1/2 oz"", ""Chocolate liqueur"": ""3/4 oz""}"
298|Adam Bomb||Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.|Margarita/Coupette glass|https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg|"{""Ice"": null, ""Rum"": ""1 part "", ""Salt"": ""1-3 pint "", ""Fruit"": null, ""Vodka"": ""1 part "", ""Tequila"": ""1 part "", ""Triple sec"": ""1/2 part "", ""Fruit juice"": null}"
314|Vampiro||"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."|Old-Fashioned glass|https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg|"{""Salt"": ""1 pinch"", ""Tequila"": ""6 cl"", ""Lime Juice"": ""1.5 cl"", ""Sugar Syrup"": ""1 dash"", ""Orange Juice"": ""3 cl"", ""Tomato Juice"": ""3 cl""}"
318|501 Blue||Mix equal amounts into a glass with ice.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg|"{""7-Up"": null, ""Vodka"": null, ""Sour mix"": null, ""Blue Curacao"": null, ""Blueberry schnapps"": null}"
329|Arizona Twister||Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge.|Hurricane glass|https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg|"{""Ice"": ""crushed "", ""Vodka"": ""1 shot "", ""Grenadine"": ""1 dash "", ""Pineapple"": ""1 wedge "", ""Malibu rum"": ""1 shot "", ""Gold tequila"": ""1 shot "", ""Orange juice"": ""1 splash "", ""Pineapple juice"": ""1 splash "", ""Cream of coconut"": ""1 splash ""}"
338|Blue Lagoon||Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.|Highball glass|https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg|"{""Vodka"": ""1 oz "", ""Cherry"": null, ""Lemonade"": null, ""Blue Curacao"": ""1 oz ""}"
343|Caribbean Orange Liqueur||Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.|Collins Glass|https://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg|"{""Sugar"": ""1 1/3 cup superfine "", ""Vodka"": ""3 cups "", ""Orange"": ""3 large ""}"
358|Long vodka||Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka|Highball glass|https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg|"{""Ice"": ""4 "", ""Lime"": ""1/2 "", ""Vodka"": ""5 cl "", ""Tonic water"": ""1 dl Schweppes "", ""Angostura bitters"": ""4 dashes ""}"
379|Vodka Lemon||The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon. Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves. Your vodka lemon is ready to be served.|Highball glass|https://www.thecocktaildb.com/images/media/drink/mql55h1643820632.jpg|"{""Ice"": ""cubes"", ""Vodka"": ""5 cl"", ""Lemon Peel"": ""1 Slice"", ""Lemon Juice"": ""7 cl""}"
